"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Día,"Estado de la entrega","Nivel de la entrega","Tipo de resultado",Resultados,"Costo por resultado","Tasa de Conversión a WhatsApp","Conversaciones con mensajes iniciadas","Nuevos contactos de mensajes","Visitas al perfil de Instagram","Importe gastado (COP)",Alcance,Impresiones,Frecuencia,"Clics en el enlace","CTR único (todos)","CPC (costo por clic en el enlace)","CPM (costo por mil impresiones)","CTR (todos)","Seguimientos de Instagram",Interacciones,"Costo por conversación con mensajes iniciada","Inicio del informe","Fin del informe","Resultados (iniciales)"
,,,,,,mixed,,,0.02159827,110,,532,1124938,74255,150277,2.02379638,6044,7.59948825,186.12475182,7485.76295774,4.55558735,63,296,10226.70909091,2026-07-01,2026-08-24,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-24,active,ad,,,,,,,0,36,10,10,1,,,,3600,0,0,,,2026-08-24,2026-08-24,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-24,active,ad,"Visitas al perfil y a la página",113,49.23893805,0.01408451,1,1,3,5564,811,872,1.07521578,71,8.75462392,78.36619718,6380.73394495,8.94495413,0,,5564,2026-08-24,2026-08-24,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-23,active,ad,"Visitas al perfil y a la página",9,47.33333333,0,,,1,426,91,100,1.0989011,6,7.69230769,71,4260,9,1,1,,2026-08-23,2026-08-23,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-23,active,ad,"Visitas al perfil y a la página",249,39.5502008,0,,,4,9848,1608,1634,1.01616915,132,8.14676617,74.60606061,6026.92778458,8.13953488,0,,,2026-08-23,2026-08-23,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-22,active,ad,,,,,,,0,30,7,7,1,,,,4285.71428571,0,0,,,2026-08-22,2026-08-22,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-22,active,ad,"Visitas al perfil y a la página",217,44.94009217,0,,,10,9752,1404,1451,1.03347578,127,8.9031339,76.78740157,6720.88215024,8.75258442,0,1,,2026-08-22,2026-08-22,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-21,active,ad,"Visitas al perfil y a la página",218,42.33027523,0,,,2,9228,1180,1234,1.04576271,119,9.91525424,77.54621849,7478.11993517,9.96758509,0,1,,2026-08-21,2026-08-21,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-21,not_delivering,ad,,,,0,,,1,4264,414,453,1.0942029,1,1.20772947,4264,9412.80353201,1.10375276,0,,,2026-08-21,2026-08-21,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-20,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,11342,0.16666667,1,1,2,11342,956,1173,1.22698745,6,1.46443515,1890.33333333,9669.22421142,1.19352089,0,2,11342,2026-08-20,2026-08-20,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-20,active,ad,"Visitas al perfil y a la página",4,11.5,0,,,0,46,18,19,1.05555556,1,5.55555556,46,2421.05263158,10.52631579,0,1,,2026-08-20,2026-08-20,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-20,active,ad,"Visitas al perfil y a la página",268,42,0,,,4,11256,1541,1590,1.03179753,150,9.53926022,75.04,7079.24528302,9.43396226,0,2,,2026-08-20,2026-08-20,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-19,active,ad,"Visitas al perfil y a la página",193,47.55440415,0,,,1,9178,1362,1382,1.01468429,112,8.14977974,81.94642857,6641.09985528,8.17655572,0,3,,2026-08-19,2026-08-19,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-19,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,4320.66666667,1,3,3,2,12962,1055,1288,1.22085308,3,1.42180095,4320.66666667,10063.66459627,1.24223602,0,2,4320.66666667,2026-08-19,2026-08-19,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-18,active,ad,"Visitas al perfil y a la página",3,74.33333333,0,,,1,223,65,67,1.03076923,2,4.61538462,111.5,3328.35820896,4.47761194,0,1,,2026-08-18,2026-08-18,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-18,active,ad,"Visitas al perfil y a la página",218,37.82110092,0,,,0,8245,1378,1431,1.03846154,120,8.63570392,68.70833333,5761.70510133,8.38574423,0,,,2026-08-18,2026-08-18,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-18,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,2343.33333333,1,3,3,2,7030,2153,2300,1.06827682,22,0.46446818,319.54545455,3056.52173913,1.34782609,0,4,2343.33333333,2026-08-18,2026-08-18,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-17,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,10313,0.33333333,1,1,1,10313,1225,1370,1.11836735,9,0.81632653,1145.88888889,7527.73722628,1.38686131,1,2,10313,2026-08-17,2026-08-17,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-17,active,ad,,,,,,,0,7,1,1,1,,,,7000,0,0,,,2026-08-17,2026-08-17,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-17,active,ad,"Visitas al perfil y a la página",312,32.17628205,0,,,5,10039,1758,1781,1.01308305,176,9.72696246,57.03977273,5636.72094329,9.76979225,1,1,,2026-08-17,2026-08-17,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-16,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,3687.33333333,1,3,2,0,11062,1201,1367,1.13821815,5,0.74937552,2212.4,8092.17264082,0.95098756,0,2,3687.33333333,2026-08-16,2026-08-16,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-16,active,ad,"Visitas al perfil y a la página",290,41.30344828,0,,,3,11978,1845,1888,1.02330623,148,7.96747967,80.93243243,6344.27966102,7.83898305,0,1,,2026-08-16,2026-08-16,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-15,active,ad,,,,,,,0,70,18,19,1.05555556,,,,3684.21052632,0,0,,,2026-08-15,2026-08-15,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-15,active,ad,"Visitas al perfil y a la página",247,34,0,,,2,8398,1301,1377,1.0584166,133,9.91544965,63.14285714,6098.7654321,9.44081336,0,,,2026-08-15,2026-08-15,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-15,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,4368.5,1,2,2,2,8737,1241,1383,1.11442385,5,0.7252216,1747.4,6317.42588576,1.01229212,0,,4368.5,2026-08-15,2026-08-15,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-14,active,ad,"Visitas al perfil y a la página",231,36.8961039,0,,,2,8523,1430,1522,1.06433566,126,8.67132867,67.64285714,5599.86859396,8.27858081,0,3,,2026-08-14,2026-08-14,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-14,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,4169,0.4,2,2,0,8338,1149,1286,1.11923412,8,1.39251523,1042.25,6483.67029549,1.55520995,0,4,4169,2026-08-14,2026-08-14,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-13,active,ad,"Visitas al perfil y a la página",6,86.16666667,0,,,1,517,134,136,1.01492537,3,2.98507463,172.33333333,3801.47058824,2.94117647,0,,,2026-08-13,2026-08-13,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-13,active,ad,"Visitas al perfil y a la página",279,36.37634409,0,,,6,10149,1716,1730,1.00815851,143,8.15850816,70.97202797,5866.47398844,8.20809249,0,1,,2026-08-13,2026-08-13,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-13,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,11358,0.33333333,1,1,0,11358,1648,1853,1.1243932,11,0.48543689,1032.54545455,6129.51969779,0.97139773,0,1,11358,2026-08-13,2026-08-13,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-08-12,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,6159,0.28571429,2,1,2,12318,1452,1656,1.14049587,9,1.03305785,1368.66666667,7438.4057971,1.02657005,0,2,6159,2026-08-12,2026-08-12,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-08-12,active,ad,"Visitas al perfil y a la página",246,41.41463415,0,,,3,10188,1464,1512,1.03278689,141,9.49453552,72.25531915,6738.0952381,9.39153439,0,,,2026-08-12,2026-08-12,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-08-12,active,ad,,,,,,,0,5,4,4,1,,,,1250,0,0,,,2026-08-12,2026-08-12,
